Fresho Onion - Medium 1 kg approx. 10 to 12 nos  Rs. 49.50
Fresho Onion - Medium 5 kg  Rs. 239
Fresho Potato 1 kg approx. 9 to 10 nos  Rs. 19.50
Fresho Tomato Hybrid - Grade A 500 gm approx. 6 to 7 nos  Rs. 6
Fresho Tomato Hybrid - Grade A 1 kg approx. 13 to 14 nos  Rs. 10
Fresho Spinach 100 gm  Rs. 25
Fresho Spinach 250 gm  Rs. 8
Fresho Spinach 500 gm  Rs. 14
Fresho Spinach 1 kg  Rs. 8
Fresho Carrot Local - Grade A 1 kg approx. 14 to 15 nos  Rs. 18
Fresho Carrot Local - Grade A 250 gm  Rs. 32
Fresho Carrot Local - Grade A 500 gm approx. 7 to 8 nos  Rs. 59
Fresho Chilli Green Big - Grade A 500 gm  Rs. 54
Fresho Chilli Green Big - Grade A
 1 kg  Rs. 16
Fresho Chilli Green Big - Grade A
 100 gm  Rs. 30
Fresho Chilli Green Big - Grade A 250 gm  Rs. 21
Fresho Coriander Hybrid - Grade A 500 gm  Rs. 38.50
Fresho Coriander Hybrid - Grade A 1 kg  Rs. 5
Fresho Coriander Hybrid Grade A 100 gm  Rs. 12
Fresho Coriander Hybrid - Grade A 250 gm  Rs. 52
Fresho Fresh Ginger - Grade A 500 gm approx. 3 to 4 nos  Rs. 95
Fresho Fresh Ginger - Grade A 1 kg  Rs. 12
Fresho Fresh Ginger - Grade A 100 gm  Rs. 29
Fresho Fresh Ginger  - Grade A 250 gm  Rs. 30
Fresho Cucumber Hybrid - Grade A 500 gm approx. 2 to 3 nos  Rs. 54
Fresho Cucumber Hybrid - Grade A 1 kg approx. 4 to 5 nos  Rs. 7
Fresho Cabbage Small - Grade A 1 pc approx. 700 to 800 gm  Rs. 16
Fresho Bottle Gourd 600 gm approx. 1 pc  Rs. 61
Fresho Bottle Gourd - Grade A
 1 kg  Rs. 110
Fresho Fresh Garlic 500 gm approx. 12 to 15 nos  Rs. 14
Fresho Fresh Garlic 1 kg  Rs. 33
Fresho Fresh Garlic 100 gm  Rs. 7
Fresho Fresh Garlic 250 gm  Rs. 12.90
Fresho Ridge Gourd - Grade A 500 gm approx. 3 to 4 nos  Rs. 6
Fresho Ridge Gourd - Grade A 1 kg approx. 5 to 6 nos  Rs. 10
Fresho Bitter Gourd - Grade A 1 kg approx. 5 to 6 nos  Rs. 19
Fresho Bitter Gourd - Grade A 250 gm approx. 1 to 2 nos  Rs. 12
Fresho Bitter Gourd - Grade A 500 gm approx. 2 to 3 nos  Rs. 19
Fresho Beetroot - Grade A 500 gm approx. 3 to 4 nos  Rs. 71
Fresho Beetroot - Grade A 1 kg approx. 7 to 8 nos  Rs. 129
